top	id	flows	u	au	ch	RM	RMt	RMm	RMp	RMh	DM	DMt	DMm	DMp	DMh	PDM	PDMt	PDMm	PDMp	PDMh	CLLF	CLLFt	CLLFm	CLLFp	CLLFh	EDF	EDFt	EDFm	EDFp	EDFh	LST	LSTt	LSTm	LSTp	LSTh	EPD	EPDt	EPDm	EPDp	EPDh	EDZL	EDZLt	EDZLm	EDZLp	EDZLh	LST_MCF	LST_MCFt	LST_MCFm	LST_MCFp	LST_MCFh	Alice	Alicet	Alicem	Alicep	Aliceh	Tasa	Tasat	Tasam	Tasap	Tasah	Random	Randomt	Randomm	Randomp	Randomh
65	2890	21	8.031	6.939	16	1	35	6	94942	10000	1	36	6	94942	10000	0	0	0	0	0	0	0	0	0	0	1	33	5	89790	10000	1	33	6	92936	10000	0	0	0	0	0	1	35	6	92228	10000	1	90	6	92766	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	2891	21	2.504	2.012	1	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
65	2891	21	2.504	2.012	2	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
65	2891	21	2.504	2.012	4	1	12	2	19252	10000	1	13	2	19252	10000	1	15	4	19287	10000	1	811	4	32159	10000	1	12	4	19327	10000	1	14	4	30398	10000	1	15	4	38857	10000	1	14	4	27767	10000	1	37	4	29780	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	2891	21	2.504	2.012	8	1	11	4	19906	10000	1	11	4	19906	10000	1	13	3	22049	10000	1	490	5	23882	10000	1	11	4	20447	10000	1	12	4	24699	10000	1	13	5	28163	10000	1	12	4	23612	10000	1	28	4	24595	10000	0	0	0	0	0	1	13	3	22092	10000	1	11	6	25359	10000
65	2891	21	2.504	2.012	16	1	11	6	21975	10000	1	12	6	21975	10000	1	13	5	23818	10000	1	480	7	25932	10000	1	11	5	22448	10000	1	13	6	26389	10000	1	12	6	27311	10000	1	12	7	25194	10000	1	28	6	26132	10000	0	0	0	0	0	1	12	4	22345	10000	1	10	6	23935	10000
65	2892	21	3.064	2.687	1	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
65	2892	21	3.064	2.687	2	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
65	2892	21	3.064	2.687	4	1	16	2	27586	10000	1	16	2	27586	10000	1	19	3	28027	10000	1	1445	3	39453	10000	1	16	3	26051	10000	1	18	3	37487	10000	1	19	5	54055	10000	1	19	3	34277	10000	1	47	4	38580	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	2892	21	3.064	2.687	8	1	14	3	26357	10000	1	13	3	26357	10000	1	15	4	27028	10000	1	747	4	27680	10000	1	13	3	24881	10000	1	14	4	27879	10000	1	14	5	31202	10000	1	21	4	25545	10000	1	33	4	28324	10000	0	0	0	0	0	1	14	3	29052	10000	0	0	0	0	0
