1P,2P
0.598764,0.727558
0.429101,0.580090
0.315565,0.431466
0.548357,0.699376
0.543915,0.660291
0.562259,0.679343
0.639544,0.732436
0.559781,0.662529
0.645808,0.731640
0.628843,0.734991
0.521367,0.635868
0.435430,0.520608
0.759983,0.842857
0.266476,0.335054
0.440578,0.552806
0.265293,0.367840
0.209484,0.265138
0.393331,0.505728
0.341009,0.421542
0.527361,0.647340
0.384825,0.496511
0.183354,0.232311
0.309113,0.387037
0.591096,0.710604
0.267970,0.326388
0.675046,0.769367
0.498920,0.643812
0.532328,0.628862
0.525918,0.602350
0.804494,0.873411
0.678474,0.852961
0.706424,0.840909
0.727878,0.880559
0.403101,0.497664
0.527749,0.716833
0.364698,0.489537
0.513882,0.651118
0.778788,0.877802
0.404332,0.508460
0.813142,0.931544
0.665039,0.786746
0.658945,0.762348
0.730572,0.800758
0.448494,0.519922
0.692904,0.784629
0.515605,0.636394
0.487451,0.609173
0.553696,0.657164
0.645808,0.750205
0.479185,0.592387
0.413318,0.549694
0.340929,0.530296
0.482434,0.595755
0.544471,0.650298
0.845547,0.901507
0.622562,0.730851
0.636530,0.722713
0.381389,0.551532
0.576933,0.682803
0.444476,0.610497
0.499109,0.659074
0.725621,0.828662
0.673832,0.774383
0.676155,0.787410
0.503687,0.587895
0.227967,0.353776
0.488568,0.639135
0.463633,0.636951
0.599884,0.707016
0.445562,0.608344
0.672169,0.769027
0.482660,0.626169
0.498356,0.711883
0.378148,0.505129
0.603913,0.703865
0.477287,0.573853
0.172459,0.268386
0.311789,0.475975
0.462187,0.633863
0.766089,0.846704
0.690266,0.785095
0.425382,0.576958
0.191064,0.297137
0.528831,0.653500
0.633629,0.713982
0.539146,0.789535
0.444989,0.597797
0.587700,0.758762
0.494547,0.691822
0.595140,0.746979
0.591999,0.728151
0.631265,0.877110
0.652775,0.747692
0.455282,0.661716
0.314494,0.416613
0.352415,0.466266
0.849451,0.904866
0.337740,0.606496
0.697171,0.794626
0.830704,0.880495
0.705320,0.773618
0.566825,0.701967
0.422674,0.660701
0.468514,0.539767
0.627300,0.897235
0.224256,0.547079
0.548134,0.652175
0.303551,0.548778
0.624989,0.709614
0.436722,0.665727
0.369270,0.501645
0.665269,0.793211
0.598915,0.813771
0.807171,0.881353
0.512379,0.600279
0.558112,0.728991
0.676148,0.839215
0.558618,0.666866
0.682213,0.921809
0.282220,0.503537
0.686705,0.756106
0.663578,0.731860
0.584546,0.718591
0.318135,0.397983
0.686311,0.770183
0.558246,0.673289
0.307886,0.397020
0.817421,0.898268
0.886853,0.933397
0.693839,0.778104
0.655707,0.762547
0.779368,0.899085
0.751509,0.832325
0.658029,0.758620
0.757018,0.865748
0.649104,0.739864
0.570108,0.735251
0.635901,0.666731
0.518109,0.634954
0.630565,0.748179
0.662142,0.732782
0.540935,0.746260
0.676631,0.754478
0.498681,0.663550
0.513505,0.578403
0.697581,0.833144
0.734105,0.820943
0.591477,0.703069
0.652829,0.728684
0.727760,0.819151
0.548925,0.646477
0.503813,0.664076
0.801625,0.873405
0.682837,0.833671
0.700276,0.795773
0.659124,0.769260
0.799219,0.831699
0.619223,0.730501
0.529117,0.694063
0.792318,0.858027
0.743357,0.789362
0.867098,0.934694
0.431476,0.600390
0.608649,0.740437
0.775330,0.861933
0.581118,0.708551
0.512776,0.680088
0.604965,0.754042
0.698519,0.791145
0.603708,0.714764
0.591069,0.737339
0.445013,0.602704
0.613913,0.765120
0.606224,0.703472
0.662984,0.762211
0.513646,0.671055
0.485512,0.616051
0.631813,0.745120
0.654059,0.759732
0.692488,0.841073
0.683937,0.774490
0.719345,0.809143
0.451031,0.585032
0.640473,0.739196
0.709935,0.836960
0.807109,0.850591
0.740636,0.811465
0.575608,0.695930
0.535002,0.741222
0.379625,0.471954
0.529744,0.625744
0.830293,0.906487
0.737922,0.781534
0.677975,0.819613
0.329986,0.532763
0.645993,0.731896
0.675674,0.758713
0.758059,0.838991
0.701371,0.839889
0.755520,0.896480
0.653371,0.813082
0.588369,0.712185
0.754516,0.846081
0.770503,0.834137
0.534337,0.748509
0.547028,0.636835
0.817257,0.914126
0.469248,0.611804
0.688090,0.763618
0.594848,0.673697
0.629316,0.722665
0.584560,0.806488
0.616768,0.715551
0.558783,0.627052
0.689774,0.724194
0.770628,0.843975
0.776377,0.851308
0.598576,0.836942
0.511299,0.739929
0.749871,0.824629
0.351616,0.558645
0.567486,0.709842
0.778087,0.855727
0.324370,0.513051
0.709973,0.794173
0.488493,0.568020
0.588264,0.678153
0.341695,0.516473
0.695182,0.767195
0.657620,0.858802
0.639409,0.725494
0.646196,0.722495
0.412038,0.634839
0.773356,0.796703
0.610574,0.704802
0.560526,0.655493
0.604703,0.685000
0.852528,0.897127
0.543614,0.820428
0.761395,0.806716
0.547250,0.827017
0.414523,0.663631
0.773528,0.822320
0.567755,0.736498
0.669768,0.936972
0.634225,0.723144
0.675245,0.768812
0.691696,0.880242
0.833884,0.882293
0.707458,0.787287
0.335189,0.417213
0.517087,0.637255
0.475422,0.582444
0.316233,0.411417
0.706042,0.816322
0.441395,0.518424
0.547547,0.617186
0.474628,0.566682
0.459827,0.581293
0.216823,0.406303
0.671472,0.724042
0.282167,0.373249
0.272929,0.348537
0.779286,0.826710
0.270287,0.356869
0.402470,0.429715
0.603453,0.679066
0.787656,0.857530
0.552037,0.751865
0.637195,0.746199
0.717818,0.800222
0.674590,0.847712
0.688407,0.810730
0.678570,0.811578
0.634681,0.800450
0.483431,0.618336
0.627524,0.709484
0.600614,0.702275
0.203783,0.366784
0.450678,0.570703
0.315603,0.494131
0.437410,0.660209
0.277681,0.417187
0.617388,0.702020
0.321857,0.520468
0.432830,0.723513
0.435321,0.562954
0.452022,0.610343
0.500626,0.594091
