1P,2P
0.837778,0.912983
0.717275,0.815853
0.868321,0.921825
0.856192,0.949300
0.795856,0.868627
0.864440,0.928795
0.849001,0.906363
0.885874,0.931912
0.865977,0.918780
0.890957,0.943495
0.884217,0.937568
0.618598,0.704892
0.551550,0.642906
0.864660,0.921201
0.763765,0.835906
0.656893,0.746661
0.786265,0.858316
0.655131,0.742873
0.814300,0.895638
0.780642,0.854944
0.850599,0.920060
0.830168,0.901374
0.790836,0.861923
0.819451,0.887180
0.846343,0.903579
0.818262,0.878233
0.941847,0.964398
0.746696,0.826507
0.796705,0.862050
0.769097,0.822201
0.772887,0.860395
0.807821,0.924571
0.885678,0.963185
0.859459,0.944398
0.630125,0.741382
0.665733,0.815489
0.681825,0.781108
0.749752,0.868571
0.878610,0.931551
0.727548,0.818980
0.807108,0.917135
0.939145,0.963816
0.815654,0.931939
0.875839,0.930057
0.698621,0.795020
0.822698,0.870422
0.659318,0.763433
0.747969,0.836669
0.748567,0.853717
0.605728,0.725223
0.806629,0.870139
0.835601,0.920024
0.659119,0.773677
0.738878,0.814348
0.625308,0.722086
0.941525,0.964396
0.820947,0.885808
0.934643,0.956664
0.794599,0.920529
0.860232,0.908915
0.860776,0.939706
0.820614,0.902697
0.863466,0.911151
0.812959,0.885098
0.891765,0.935807
0.752287,0.817573
0.711769,0.847998
0.818789,0.926334
0.786074,0.914336
0.827698,0.885816
0.843662,0.919671
0.857565,0.911793
0.738347,0.863869
0.659010,0.776643
0.756317,0.895281
0.904902,0.955378
0.760257,0.830608
0.624075,0.749819
0.742432,0.830022
0.773615,0.901180
0.884340,0.961612
0.807478,0.907805
0.841995,0.898143
0.629316,0.755579
0.815246,0.878035
0.838863,0.911556
0.735412,0.861068
0.748015,0.867323
0.785768,0.921907
0.789103,0.906041
0.805362,0.936636
0.865415,0.944689
0.827468,0.936954
0.874494,0.948835
0.791842,0.903758
0.722973,0.827033
0.849258,0.902276
0.893496,0.930984
0.771938,0.930010
0.746938,0.834876
0.797133,0.859507
0.856876,0.904458
0.754671,0.856890
0.713639,0.859558
