1P,2P
0.987657,0.991503
0.935352,0.961876
0.929892,0.955108
0.983065,0.986931
0.998496,0.998846
0.965722,0.979979
0.993900,0.998452
0.972896,0.981212
0.997953,0.999106
0.945456,0.978410
0.995243,0.996550
0.986343,0.992747
0.971289,0.984175
0.984708,0.993713
0.989808,0.991862
0.977733,0.987878
0.981297,0.990227
0.989347,0.992548
0.986219,0.992636
0.997362,0.998445
0.956828,0.975297
0.979531,0.988537
0.910241,0.930403
0.997140,0.998429
0.991671,0.993372
0.969963,0.983561
0.994355,0.996704
0.897178,0.948919
0.992634,0.997706
0.985541,0.992360
0.966391,0.984974
0.981726,0.991026
0.948200,0.972709
0.951327,0.970402
0.973098,0.983749
0.957319,0.983878
0.944999,0.969426
0.937321,0.963192
0.937700,0.967669
0.962906,0.985272
0.951138,0.969961
0.971808,0.981193
0.927408,0.968563
0.966589,0.981397
0.974643,0.985081
0.976974,0.984646
0.983815,0.997619
0.948969,0.969310
0.980649,0.989558
0.960695,0.977494
0.989018,0.993518
0.986912,0.994779
0.980675,0.989085
0.983836,0.991387
0.938698,0.965792
0.961753,0.978656
0.960530,0.975548
0.949299,0.976103
0.961825,0.977620
0.982984,0.990627
0.959257,0.975162
0.976110,0.986780
0.989649,0.993775
0.917630,0.953352
0.982326,0.990502
0.974897,0.983861
0.970586,0.984032
0.939416,0.963751
0.983050,0.990658
0.971166,0.983493
0.981352,0.991194
0.976255,0.987259
0.967059,0.984682
0.972219,0.984681
0.994276,0.997022
0.943466,0.967184
0.970145,0.983093
0.984071,0.991965
0.967120,0.981197
0.978619,0.992406
0.970311,0.985402
0.965774,0.980762
0.965900,0.986057
0.977526,0.991737
0.971036,0.983906
0.951906,0.974819
0.946286,0.967383
0.902732,0.944293
0.930750,0.955404
0.963039,0.979577
0.971419,0.986625
0.991599,0.997644
0.927253,0.956554
0.986747,0.997095
0.933088,0.960458
0.967096,0.981997
0.973420,0.984531
0.885473,0.933461
0.967935,0.981492
0.966564,0.980411
0.988225,0.993687
0.986613,0.995921
0.987268,0.993449
0.979986,0.990117
0.933638,0.962682
0.908997,0.952235
0.963610,0.977188
0.891424,0.940265
0.846126,0.918314
0.928047,0.954986
0.946522,0.977905
0.963968,0.982984
0.944797,0.966982
0.900782,0.942066
0.954769,0.975098
0.950491,0.972471
0.936010,0.967399
0.930267,0.958439
0.960197,0.977530
0.938455,0.963503
0.931956,0.957234
0.899647,0.942237
0.970698,0.983856
0.928829,0.959152
0.977483,0.985388
0.918305,0.955074
0.885985,0.910844
0.969144,0.982377
0.982452,0.991056
0.914250,0.952675
0.881350,0.940437
0.930699,0.960242
0.910049,0.958999
0.947256,0.968902
0.900904,0.944447
0.934506,0.960866
0.947267,0.969805
0.908991,0.946660
0.960070,0.980770
0.944746,0.970558
0.979045,0.988513
0.952548,0.976190
0.915458,0.951182
0.920862,0.967704
0.968481,0.976878
0.960881,0.978916
0.972872,0.986147
0.932090,0.958931
0.986910,0.991875
0.970012,0.984095
0.993236,0.997455
0.968149,0.982408
0.970524,0.983911
0.980567,0.992272
0.986605,0.992502
0.965970,0.981736
0.967226,0.981440
0.975982,0.989476
0.924960,0.949171
0.981741,0.989999
0.943225,0.978212
0.965298,0.979894
0.928190,0.958541
0.952459,0.975641
0.958800,0.974331
0.922715,0.949709
0.959203,0.977157
0.943366,0.967255
0.964670,0.977937
0.952687,0.966134
0.928727,0.953737
0.954019,0.977540
0.928001,0.962070
0.960018,0.976601
0.964821,0.975589
0.919423,0.948925
0.964674,0.982220
0.940624,0.971783
0.980827,0.990833
0.991870,0.995541
0.946584,0.966853
0.921034,0.949869
0.907509,0.955601
0.938669,0.958541
0.842732,0.909818
0.832315,0.882003
0.897627,0.941418
0.991829,0.995469
0.933135,0.958278
0.954522,0.975046
0.971923,0.987115
1.000000,1.000000
0.958751,0.976921
0.975019,0.987234
0.929139,0.953327
0.911767,0.959314
0.988886,0.994344
0.972254,0.984845
0.928865,0.960115
0.944607,0.967172
0.958396,0.978831
0.967431,0.983431
0.971263,0.983900
0.881515,0.923697
0.964587,0.980196
0.953609,0.966593
0.970039,0.984733
0.968443,0.984869
0.919959,0.965508
0.956158,0.978736
0.961163,0.985413
0.987343,0.993268
0.933553,0.960124
0.957712,0.981885
0.948423,0.979381
0.975160,0.990042
0.961570,0.984396
0.957190,0.975454
0.925698,0.948417
0.905663,0.954531
0.984977,0.992217
0.976127,0.986880
0.928213,0.955490
0.977922,0.987427
0.965206,0.979187
0.952274,0.975460
0.991819,0.996244
0.967112,0.979662
0.958178,0.975873
0.961771,0.980503
0.968892,0.982594
0.977043,0.987317
0.972442,0.984123
0.975673,0.984775
0.983167,0.990300
0.900121,0.937784
0.988339,0.993488
0.986946,0.993924
0.964547,0.981293
0.922681,0.962322
0.969484,0.984437
0.991810,0.995999
0.973045,0.985288
0.979823,0.989157
0.958514,0.977669
0.948020,0.970702
0.987003,0.993160
0.990787,1.000000
0.958586,0.977518
0.998255,0.999131
0.922682,0.949485
0.966178,0.982018
0.978562,0.985046
0.988671,0.992905
0.986268,0.993274
0.993033,0.996785
0.990006,0.998165
0.947680,0.970346
0.950834,0.973714
0.977065,0.987262
0.952996,0.965555
0.977279,0.985689
0.938782,0.986045
0.955028,0.977697
0.979116,0.988303
0.963253,0.981398
0.991504,0.995824
0.983568,0.990198
0.970620,0.984908
0.994064,0.997132
0.901671,0.949069
0.978094,0.985537
0.939971,0.962486
0.978977,0.988680
0.945729,0.969937
0.958625,0.975125
0.974762,0.984205
0.987037,0.994804
0.965849,0.979781
0.981430,0.989947
0.912523,0.948342
0.948532,0.970314
0.955755,0.972530
0.985189,0.992297
0.960077,0.980674
0.963761,0.974159
0.964418,0.979630
0.964632,0.980582
0.973516,0.990998
0.970193,0.978859
0.990543,0.994753
0.943104,0.972940
0.985287,0.991787
0.956155,0.973950
0.978790,0.992388
0.926636,0.959196
0.937866,0.970624
0.878681,0.933644
0.970618,0.986540
0.984036,0.990364
0.932718,0.964019
0.977811,0.987285
0.944131,0.975987
