1P,2P
0.777597,0.883509
0.705898,0.815749
0.445847,0.567306
0.576955,0.727345
0.695705,0.785279
0.712409,0.842948
0.835418,0.914158
0.877972,0.932654
0.836836,0.903535
0.843139,0.935006
0.808257,0.896418
0.624555,0.704452
0.385480,0.532774
0.884346,0.929989
0.614587,0.672837
0.536554,0.622210
0.780063,0.854482
0.442259,0.566004
0.745998,0.821179
0.693979,0.857864
0.742407,0.805370
0.693736,0.830498
0.614468,0.729333
0.683257,0.762684
0.885006,0.948208
0.669241,0.753115
0.893732,0.943729
0.638838,0.742233
0.648265,0.745163
0.775409,0.853878
0.585831,0.686137
0.648680,0.775396
0.817082,0.888554
0.749902,0.844159
0.503683,0.604847
0.659141,0.746138
0.603324,0.706827
0.821945,0.886774
0.735724,0.814051
0.600434,0.708483
0.757522,0.855064
0.870019,0.926853
0.809582,0.888674
0.685435,0.757441
0.633314,0.731006
0.748299,0.783462
0.646782,0.744692
0.631287,0.725728
0.579468,0.687291
0.429269,0.538801
0.574054,0.693840
0.746691,0.835718
0.430731,0.536038
0.526138,0.660846
0.517844,0.641398
0.807471,0.869120
0.591158,0.702673
0.808313,0.862320
0.678803,0.773350
0.603077,0.710043
0.649412,0.831176
0.682402,0.770994
0.466697,0.607504
0.628039,0.762786
0.532506,0.666310
0.670452,0.776453
0.384382,0.599440
0.630472,0.780984
0.644142,0.750201
0.598888,0.719094
0.773432,0.850220
0.654664,0.752648
0.554495,0.653452
0.608310,0.757027
0.587784,0.756540
0.870556,0.911579
0.575393,0.679090
0.458540,0.622281
0.604981,0.748925
0.733681,0.810404
0.644709,0.741455
0.782202,0.856577
0.732230,0.818713
0.503986,0.615539
0.666783,0.780690
0.786432,0.857282
0.501128,0.654276
0.539481,0.740687
0.606852,0.749037
0.669047,0.767862
0.638560,0.749892
0.636948,0.791903
0.651417,0.841499
0.805321,0.874199
0.760991,0.838126
0.508900,0.585116
0.534819,0.656567
0.808284,0.869552
0.614225,0.838975
0.817468,0.885701
0.909806,0.939862
0.852939,0.898427
0.632053,0.758343
0.649679,0.820747
0.712330,0.775165
