top	id	flows	u	au	ch	RM	RMt	RMm	RMp	RMh	DM	DMt	DMm	DMp	DMh	PDM	PDMt	PDMm	PDMp	PDMh	CLLF	CLLFt	CLLFm	CLLFp	CLLFh	EDF	EDFt	EDFm	EDFp	EDFh	LST	LSTt	LSTm	LSTp	LSTh	EPD	EPDt	EPDm	EPDp	EPDh	EDZL	EDZLt	EDZLm	EDZLp	EDZLh	LST_MCF	LST_MCFt	LST_MCFm	LST_MCFp	LST_MCFh	Alice	Alicet	Alicem	Alicep	Aliceh	Tasa	Tasat	Tasam	Tasap	Tasah	Random	Randomt	Randomm	Randomp	Randomh
58	2573	21	2.021	1.759	16	0	0	0	0	0	1	10	6	19393	10000	1	11	7	20300	10000	1	245	7	20022	10000	1	10	5	19328	10000	1	10	6	20063	10000	1	11	7	21121	10000	1	11	6	20011	10000	1	23	6	19956	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	2574	21	13.105	11.161	1	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
58	2574	21	13.105	11.161	2	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
58	2574	21	13.105	11.161	4	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
58	2574	21	13.105	11.161	8	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
58	2574	21	13.105	11.161	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	2575	21	2.614	2.363	1	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
58	2575	21	2.614	2.363	2	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
58	2575	21	2.614	2.363	4	0	0	0	0	0	1	15	3	24739	10000	0	0	0	0	0	1	694	4	34254	10000	1	14	3	24817	10000	1	14	3	26637	10000	1	17	5	44609	10000	1	14	3	25876	10000	1	37	3	26158	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	2575	21	2.614	2.363	8	0	0	0	0	0	1	12	3	25026	10000	1	14	6	25614	10000	1	405	5	27336	10000	1	12	4	25043	10000	1	12	4	26642	10000	1	14	5	30280	10000	1	13	3	25885	10000	1	29	3	26024	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	2575	21	2.614	2.363	16	0	0	0	0	0	1	13	5	27481	10000	1	14	4	27719	10000	1	376	8	28223	10000	1	12	4	27414	10000	1	13	5	28624	10000	1	13	6	28911	10000	1	12	4	28096	10000	1	29	4	27448	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	2576	21	5.733	5.056	1	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
58	2576	21	5.733	5.056	2	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
